feature,mean_abs_shap,rank
max_f000,0.14744727,1
std_f163,0.13480692,2
mean_f077,0.106606044,3
mean_f165,0.0696822,4
max_f003,0.068743914,5
max_f166,0.04548624,6
max_f172,0.04494269,7
max_f040,0.037314262,8
mean_f018,0.035668667,9
max_f018,0.035598326,10
max_f038,0.03263402,11
mean_f082,0.030387683,12
max_f130,0.029553864,13
mean_f011,0.027206095,14
max_f016,0.025947971,15
max_f043,0.025187027,16
max_f088,0.0246135,17
mean_f157,0.022767572,18
last_f023,0.020390457,19
max_f175,0.020098744,20
mean_f172,0.01995719,21
mean_f164,0.019624086,22
mean_f009,0.018905472,23
last_f156,0.018299105,24
mean_f174,0.017982498,25
last_f002,0.01756741,26
max_f011,0.017318679,27
max_f066,0.017106974,28
std_f005,0.01620371,29
mean_f001,0.016069505,30
max_f017,0.015455911,31
mean_f012,0.0152880475,32
mean_f031,0.015285634,33
mean_f014,0.01463384,34
mean_f156,0.014377553,35
max_f061,0.013540547,36
max_f012,0.013502987,37
max_f113,0.012983986,38
mean_f017,0.012434714,39
max_f168,0.011938156,40
std_f050,0.01104064,41
last_f087,0.01088743,42
max_f171,0.010783187,43
mean_f075,0.010672334,44
max_f049,0.0106555475,45
mean_f166,0.010640787,46
last_f025,0.010532607,47
max_f023,0.010197388,48
last_f068,0.010123915,49
max_f155,0.009920448,50
mean_f021,0.009912249,51
max_f111,0.009838345,52
mean_f002,0.009811324,53
mean_f004,0.009690947,54
max_f035,0.009666708,55
max_f015,0.009539208,56
max_f156,0.009526992,57
max_f021,0.009471159,58
max_f108,0.009371273,59
mean_f171,0.009349608,60
mean_f064,0.009150733,61
max_f025,0.00903609,62
last_f172,0.008977084,63
max_f014,0.008955088,64
mean_f041,0.0087759625,65
mean_f008,0.008741694,66
max_f082,0.00867772,67
mean_f173,0.008582215,68
mean_f163,0.008566609,69
max_f044,0.008550566,70
std_f100,0.008543335,71
std_f022,0.008517015,72
max_f007,0.008514681,73
mean_f050,0.008442539,74
mean_f169,0.008385259,75
mean_f072,0.0082848985,76
mean_f168,0.008267586,77
max_f001,0.0080893235,78
last_f001,0.008023639,79
max_f170,0.007989052,80
max_f084,0.007973853,81
max_f032,0.007888873,82
max_f160,0.007862947,83
mean_f084,0.007856971,84
