feature,in_top10_B,in_top10_C,rank_B,rank_C,mean_abs_shap_B,mean_abs_shap_C,intersection_size,jaccard_overlap
max_f000,True,False,1.0,,0.14744727313518524,,2,0.1111111111111111
max_f003,True,False,5.0,,0.06874391436576843,,2,0.1111111111111111
max_f018,True,False,10.0,,0.03559832647442818,,2,0.1111111111111111
max_f040,True,False,8.0,,0.03731426224112511,,2,0.1111111111111111
max_f102,False,True,,1.0,,0.0807594507932663,2,0.1111111111111111
max_f127,False,True,,3.0,,0.040470656007528305,2,0.1111111111111111
max_f155,False,True,,2.0,,0.0547836571931839,2,0.1111111111111111
max_f157,False,True,,4.0,,0.034370046108961105,2,0.1111111111111111
max_f166,True,False,6.0,,0.045486241579055786,,2,0.1111111111111111
max_f172,True,True,7.0,7.0,0.04494268819689751,0.024389302358031273,2,0.1111111111111111
mean_f001,False,True,,9.0,,0.022589650005102158,2,0.1111111111111111
mean_f004,False,True,,10.0,,0.02248188853263855,2,0.1111111111111111
mean_f018,True,True,9.0,8.0,0.035668667405843735,0.02309470623731613,2,0.1111111111111111
mean_f056,False,True,,5.0,,0.03428700938820839,2,0.1111111111111111
mean_f077,True,False,3.0,,0.10660604387521744,,2,0.1111111111111111
mean_f165,True,False,4.0,,0.06968220323324203,,2,0.1111111111111111
mean_f172,False,True,,6.0,,0.032136376947164536,2,0.1111111111111111
std_f163,True,False,2.0,,0.13480691611766815,,2,0.1111111111111111
